CLASSNAME,SUBCOMPONENTID
PCA5519,SCP3869
PCA6085,SCP3870
PCA2192,SCP3870
PCA180,SCP3870
PCA1627,SCP3874
PCA4273,SCP3874
PCA1369,SCP3874
PCA11,SCP3877
PCA54,SCP3879
PCA1471,SCP3882
PCA2017,SCP3882
PCA4922,SCP3882
PCA3772,SCP3884
PCA7435,SCP3884
PCA5632,SCP3884
PCA40,SCP3889
PCA54,SCP3890
PCA64,SCP3891
PCA3310,SCP3891
PCA3806,SCP3891
PCA2755,SCP3894
PCA7087,SCP3894
PCA5530,SCP3894
PCA4093,SCP3895
PCA6006,SCP3895
PCA4748,SCP3895
PCA9736,SCP3896
PCA5756,SCP3896
PCA5471,SCP3896
PCA23,SCP3897
PCA4962,SCP3899
PCA3503,SCP3899
PCA6588,SCP3899
PCA4278,SCP3900
PCA5106,SCP3900
PCA8260,SCP3900
PCA37,SCP3902
PCA65,SCP3905
PCA9561,SCP3908
PCA9710,SCP3908
PCA9763,SCP3908
PCA6835,SCP3910
PCA4974,SCP3910
PCA6154,SCP3910
PCA49,SCP3911
PCA5324,SCP3914
PCA8342,SCP3914
PCA5492,SCP3914
PCA59,SCP3916
PCA6,SCP3926
PCA4736,SCP3927
PCA6238,SCP3927
PCA9178,SCP3927
PCA31,SCP3930
PCA4692,SCP3932
PCA4093,SCP3932
PCA6543,SCP3932
PCA63,SCP3935
PCA327,SCP3936
PCA3003,SCP3936
PCA7961,SCP3936
PCA2052,SCP3939
PCA1382,SCP3939
PCA4784,SCP3939
PCA771,SCP3940
PCA9344,SCP3940
PCA5324,SCP3940
PCA5526,SCP3944
PCA1591,SCP3944
PCA2455,SCP3944
PCA5051,SCP3946
PCA8724,SCP3946
PCA6648,SCP3946
PCA8238,SCP3948
PCA4557,SCP3948
PCA5635,SCP3948
PCA6508,SCP3949
PCA7118,SCP3949
PCA6756,SCP3949
PCA70,SCP3951
PCA33,SCP3952
PCA2880,SCP3955
PCA3000,SCP3955
PCA2552,SCP3955
PCA65,SCP3961
PCA50,SCP3962
PCA2960,SCP3972
PCA4358,SCP3972
PCA3977,SCP3972
PCA3365,SCP3973
PCA4831,SCP3973
PCA5627,SCP3973
PCA1233,SCP3975
PCA3807,SCP3975
PCA3130,SCP3975
PCA4234,SCP3976
PCA746,SCP3976
PCA6720,SCP3976
PCA9278,SCP3980
PCA7258,SCP3980
PCA6598,SCP3980
PCA23,SCP3983
PCA6349,SCP3984
PCA8415,SCP3984
PCA4022,SCP3984
PCA9864,SCP3987
PCA8100,SCP3987
PCA4822,SCP3987
PCA8004,SCP3989
PCA1692,SCP3989
PCA8609,SCP3989
PCA43,SCP3993
PCA31,SCP3994
PCA69,SCP3995
PCA8070,SCP3996
PCA5574,SCP3996
PCA9317,SCP3996
PCA8379,SCP3997
PCA381,SCP3997
PCA7091,SCP3997
PCA33,SCP3998
PCA15,SCP3999
PCA3311,SCP4001
PCA5539,SCP4001
PCA1467,SCP4001
PCA8351,SCP4002
PCA4415,SCP4002
PCA6392,SCP4002
PCA64,SCP4004
PCA6231,SCP4007
PCA5504,SCP4007
PCA1696,SCP4007
PCA67,SCP4009
PCA2127,SCP4010
PCA7037,SCP4010
PCA2983,SCP4010
PCA7182,SCP4012
PCA5006,SCP4012
PCA8096,SCP4012
PCA12,SCP4015
PCA1931,SCP4018
PCA4697,SCP4018
PCA5737,SCP4018
PCA26,SCP4019
PCA44,SCP4022
PCA4,SCP4024
PCA2417,SCP4025
PCA53,SCP4025
PCA6949,SCP4025
PCA6,SCP4027
PCA61,SCP4029
PCA70,SCP4030
PCA9188,SCP4033
PCA7098,SCP4033
PCA837,SCP4033
PCA335,SCP4038
PCA9793,SCP4038
PCA5352,SCP4038
PCA30,SCP4043
PCA4539,SCP4044
PCA1934,SCP4044
PCA6590,SCP4044
PCA39,SCP4047
PCA8911,SCP4050
PCA905,SCP4050
PCA3523,SCP4050
PCA49,SCP4051
PCA4757,SCP4055
PCA7970,SCP4055
PCA8815,SCP4055
PCA4557,SCP4057
PCA8853,SCP4057
PCA8789,SCP4057
PCA31,SCP4058
PCA37,SCP4059
PCA54,SCP4060
PCA5792,SCP4061
PCA3928,SCP4061
PCA5228,SCP4061
PCA3843,SCP4065
PCA9386,SCP4065
PCA5278,SCP4065
PCA6176,SCP4068
PCA2288,SCP4068
PCA495,SCP4068
PCA31,SCP4070
PCA47,SCP4071
PCA56,SCP4078
PCA53,SCP4083
PCA49,SCP4086
PCA7,SCP4087
PCA6,SCP4088
PCA658,SCP4091
PCA9017,SCP4091
PCA4577,SCP4091
PCA33,SCP4092
PCA1298,SCP4093
PCA456,SCP4093
PCA8333,SCP4093
PCA8915,SCP4096
PCA2488,SCP4096
PCA6793,SCP4096
PCA4375,SCP4097
PCA6658,SCP4097
PCA4006,SCP4097
PCA12,SCP4100
PCA30,SCP4103
PCA60,SCP4106
PCA61,SCP4107
PCA19,SCP4113
PCA58,SCP4114
PCA5333,SCP4120
PCA5649,SCP4120
PCA6295,SCP4120
PCA2462,SCP4123
PCA7018,SCP4123
PCA9184,SCP4123
PCA10,SCP4124
PCA3,SCP4127
PCA63,SCP4128
PCA9756,SCP4129
PCA1640,SCP4129
PCA7289,SCP4129
PCA6430,SCP4134
PCA3872,SCP4134
PCA6991,SCP4134
PCA9267,SCP4136
PCA2091,SCP4136
PCA4684,SCP4136
PCA27,SCP4137
PCA4434,SCP4143
PCA380,SCP4143
PCA9138,SCP4143
PCA25,SCP4144
PCA18,SCP4145
PCA2437,SCP4146
PCA4315,SCP4146
PCA7863,SCP4146
PCA64,SCP4147
PCA70,SCP4151
PCA646,SCP4154
PCA328,SCP4154
PCA8663,SCP4154
PCA5,SCP4155
PCA6,SCP4160
PCA2790,SCP4162
PCA156,SCP4162
PCA7526,SCP4162
PCA64,SCP4163
PCA1,SCP4165
PCA44,SCP4166
PCA1395,SCP4169
PCA4049,SCP4169
PCA8704,SCP4169
PCA3,SCP4171
PCA32,SCP4172
PCA9770,SCP4173
PCA2167,SCP4173
PCA3394,SCP4173
PCA43,SCP4176
PCA4,SCP4178
PCA6468,SCP4180
PCA115,SCP4180
PCA2615,SCP4180
PCA46,SCP4181
PCA10,SCP4183
PCA26,SCP4184
PCA26,SCP4188
PCA67,SCP4189
PCA3280,SCP4191
PCA724,SCP4191
PCA7651,SCP4191
PCA14,SCP4195
PCA15,SCP4196
PCA60,SCP4199
PCA5215,SCP4204
PCA5756,SCP4204
PCA9530,SCP4204
PCA4795,SCP4207
PCA8090,SCP4207
PCA7144,SCP4207
PCA8663,SCP4208
PCA5514,SCP4208
PCA9124,SCP4208
PCA9,SCP4209
PCA3555,SCP4216
PCA397,SCP4216
PCA585,SCP4216
PCA2965,SCP4218
PCA8332,SCP4218
PCA9580,SCP4218
PCA7238,SCP4219
PCA8915,SCP4219
PCA1873,SCP4219
PCA44,SCP4224
PCA39,SCP4228
PCA24,SCP4229
PCA1640,SCP4231
PCA6673,SCP4231
PCA8879,SCP4231
PCA2,SCP4233
PCA5955,SCP4238
PCA6444,SCP4238
PCA4040,SCP4238
PCA1775,SCP4239
PCA76,SCP4239
PCA8249,SCP4239
PCA68,SCP4245
PCA41,SCP4250
PCA8790,SCP4252
PCA238,SCP4252
PCA7736,SCP4252
PCA53,SCP4255
PCA3911,SCP4257
PCA8147,SCP4257
PCA5521,SCP4257
PCA33,SCP4259
PCA5460,SCP4263
PCA5591,SCP4263
PCA4258,SCP4263
PCA6327,SCP4264
PCA4902,SCP4264
PCA7404,SCP4264
PCA41,SCP4267
PCA3719,SCP4268
PCA6473,SCP4268
PCA5149,SCP4268
PCA3377,SCP4269
PCA4838,SCP4269
PCA7113,SCP4269
PCA1030,SCP4271
PCA1167,SCP4271
PCA8064,SCP4271
PCA11,SCP4281
PCA8476,SCP4282
PCA7187,SCP4282
PCA7228,SCP4282
PCA18,SCP4283
PCA70,SCP4284
PCA31,SCP4286
PCA4005,SCP4292
PCA728,SCP4292
PCA7071,SCP4292
PCA1646,SCP4293
PCA3554,SCP4293
PCA1008,SCP4293
PCA60,SCP4294
PCA1925,SCP4295
PCA5271,SCP4295
PCA2115,SCP4295
PCA21,SCP4296
PCA669,SCP4297
PCA2790,SCP4297
PCA3864,SCP4297
PCA42,SCP4299
PCA594,SCP4301
PCA41,SCP4301
PCA6629,SCP4301
PCA1825,SCP4303
PCA231,SCP4303
PCA5472,SCP4303
PCA64,SCP4305
PCA4821,SCP4309
PCA1035,SCP4309
PCA3912,SCP4309
PCA1417,SCP4315
PCA9163,SCP4315
PCA8675,SCP4315
PCA38,SCP4319
PCA5177,SCP4320
PCA1498,SCP4320
PCA7646,SCP4320
PCA8877,SCP4325
PCA3,SCP4325
PCA7939,SCP4325
PCA5,SCP4337
PCA1556,SCP4338
PCA3240,SCP4338
PCA5033,SCP4338
PCA9868,SCP4340
PCA5214,SCP4340
PCA9420,SCP4340
PCA5303,SCP4346
PCA5670,SCP4346
PCA3820,SCP4346
PCA4475,SCP4350
PCA4340,SCP4350
PCA8571,SCP4350
PCA9592,SCP4351
PCA2338,SCP4351
PCA8055,SCP4351
PCA25,SCP4352
PCA47,SCP4354
PCA66,SCP4355
PCA3856,SCP4356
PCA7784,SCP4356
PCA2979,SCP4356
PCA69,SCP4361
PCA7778,SCP4362
PCA6960,SCP4362
PCA6456,SCP4362
PCA5820,SCP4363
PCA1667,SCP4363
PCA47,SCP4363
PCA41,SCP4373
PCA8684,SCP4375
PCA9460,SCP4375
PCA867,SCP4375
PCA14,SCP4377
PCA1584,SCP4378
PCA8106,SCP4378
PCA3005,SCP4378
PCA58,SCP4379
PCA1273,SCP4382
PCA9857,SCP4382
PCA2217,SCP4382
PCA1341,SCP4384
PCA9054,SCP4384
PCA8812,SCP4384
PCA3,SCP4386
PCA8,SCP4387
PCA5933,SCP4389
PCA1359,SCP4389
PCA7976,SCP4389
PCA1793,SCP4391
PCA9137,SCP4391
PCA3270,SCP4391
PCA3178,SCP4397
PCA9306,SCP4397
PCA2166,SCP4397
PCA6360,SCP4398
PCA4274,SCP4398
PCA5744,SCP4398
PCA12,SCP4401
PCA65,SCP4403
PCA6250,SCP4405
PCA4292,SCP4405
PCA384,SCP4405
PCA28,SCP4407
PCA2384,SCP4410
PCA4465,SCP4410
PCA4482,SCP4410
PCA65,SCP4413
PCA66,SCP4414
PCA604,SCP4415
PCA451,SCP4415
PCA303,SCP4415
PCA44,SCP4416
PCA49,SCP4418
PCA2809,SCP4420
PCA8630,SCP4420
PCA1984,SCP4420
PCA6891,SCP4422
PCA3546,SCP4422
PCA9908,SCP4422
PCA69,SCP4423
PCA9485,SCP4424
PCA3762,SCP4424
PCA3688,SCP4424
PCA65,SCP4425
PCA37,SCP4426
PCA2964,SCP4427
PCA3788,SCP4427
PCA6036,SCP4427
PCA9435,SCP4434
PCA7250,SCP4434
PCA221,SCP4434
PCA248,SCP4436
PCA8322,SCP4436
PCA4490,SCP4436
PCA407,SCP4437
PCA1787,SCP4437
PCA9672,SCP4437
PCA42,SCP4445
PCA18,SCP4446
PCA50,SCP4447
PCA5962,SCP4448
PCA6715,SCP4448
PCA8554,SCP4448
PCA13,SCP4455
PCA18,SCP4459
PCA2204,SCP4462
PCA7798,SCP4462
PCA457,SCP4462
PCA16,SCP4464
PCA22,SCP4465
PCA2606,SCP4466
PCA9909,SCP4466
PCA2703,SCP4466
PCA10,SCP4468
PCA26,SCP4470
PCA94,SCP4473
PCA7287,SCP4473
PCA4767,SCP4473
PCA40,SCP4475
PCA23,SCP4477
PCA4070,SCP4481
PCA5116,SCP4481
PCA8874,SCP4481
PCA19,SCP4482
PCA798,SCP4485
PCA8632,SCP4485
PCA223,SCP4485
PCA59,SCP4488
PCA31,SCP4489
PCA260,SCP4491
PCA9012,SCP4491
PCA4854,SCP4491
PCA58,SCP4494
PCA8735,SCP4496
PCA7776,SCP4496
PCA6136,SCP4496
PCA6,SCP4500
PCA25,SCP4501
PCA5978,SCP4504
PCA4496,SCP4504
PCA7648,SCP4504
PCA43,SCP4505
PCA4349,SCP4506
PCA4168,SCP4506
PCA8098,SCP4506
PCA5104,SCP4508
PCA1651,SCP4508
PCA4248,SCP4508
PCA581,SCP4510
PCA5310,SCP4510
PCA5161,SCP4510
PCA44,SCP4511
PCA43,SCP4518
PCA9668,SCP4522
PCA2833,SCP4522
PCA5993,SCP4522
PCA22,SCP4523
PCA57,SCP4524
PCA54,SCP4526
PCA30,SCP4532
PCA370,SCP4534
PCA6141,SCP4534
PCA2462,SCP4534
PCA3641,SCP4535
PCA6827,SCP4535
PCA7175,SCP4535
PCA3,SCP4537
PCA1465,SCP4538
PCA2693,SCP4538
PCA8444,SCP4538
PCA2910,SCP4545
PCA1776,SCP4545
PCA3823,SCP4545
PCA9868,SCP4548
PCA8280,SCP4548
PCA9210,SCP4548
PCA4399,SCP4550
PCA2696,SCP4550
PCA5515,SCP4550
PCA958,SCP4553
PCA4672,SCP4553
PCA9818,SCP4553
PCA33,SCP4554
PCA15,SCP4559
PCA5303,SCP4560
PCA9408,SCP4560
PCA3699,SCP4560
PCA53,SCP4564
PCA53,SCP4566
PCA66,SCP4568
PCA21,SCP4572
PCA39,SCP4574
PCA9259,SCP4578
PCA7037,SCP4578
PCA9447,SCP4578
PCA56,SCP4581
PCA4051,SCP4583
PCA5482,SCP4583
PCA9494,SCP4583
PCA33,SCP4584
PCA3584,SCP4587
PCA4726,SCP4587
PCA7500,SCP4587
PCA1980,SCP4589
PCA6248,SCP4589
PCA945,SCP4589
PCA60,SCP4590
PCA4443,SCP4591
PCA6350,SCP4591
PCA1575,SCP4591
PCA10,SCP4595
PCA29,SCP4599
PCA21,SCP4602
PCA9970,SCP4604
PCA7686,SCP4604
PCA3347,SCP4604
PCA47,SCP4605
PCA3913,SCP4607
PCA6634,SCP4607
PCA5876,SCP4607
PCA7,SCP4610
PCA5827,SCP4615
PCA3873,SCP4615
PCA3768,SCP4615
PCA8,SCP4617
PCA8645,SCP4618
PCA7853,SCP4618
PCA6180,SCP4618
PCA8828,SCP4621
PCA9707,SCP4621
PCA596,SCP4621
PCA7161,SCP4622
PCA408,SCP4622
PCA5775,SCP4622
PCA9496,SCP4623
PCA559,SCP4623
PCA691,SCP4623
PCA1821,SCP4630
PCA154,SCP4630
PCA1094,SCP4630
PCA46,SCP4632
PCA7263,SCP4633
PCA8320,SCP4633
PCA4574,SCP4633
PCA4425,SCP4636
PCA1041,SCP4636
PCA2279,SCP4636
PCA8613,SCP4639
PCA9919,SCP4639
PCA1143,SCP4639
PCA9,SCP4643
PCA7358,SCP4644
PCA8729,SCP4644
PCA2864,SCP4644
PCA2804,SCP4645
PCA3260,SCP4645
PCA6299,SCP4645
PCA45,SCP4647
PCA26,SCP4648
PCA54,SCP4650
PCA12,SCP4651
PCA56,SCP4656
PCA604,SCP4658
PCA2767,SCP4658
PCA6992,SCP4658
PCA9937,SCP4660
PCA5769,SCP4660
PCA1076,SCP4660
PCA6,SCP4661
PCA6759,SCP4665
PCA8540,SCP4665
PCA6290,SCP4665
PCA20,SCP4666
PCA8620,SCP4667
PCA8400,SCP4667
PCA3560,SCP4667
PCA5794,SCP4668
PCA5020,SCP4668
PCA1733,SCP4668
PCA9988,SCP4670
PCA3585,SCP4670
PCA1629,SCP4670
PCA2595,SCP4671
PCA2456,SCP4671
PCA907,SCP4671
PCA7553,SCP4674
PCA119,SCP4674
PCA7203,SCP4674
PCA47,SCP4677
PCA26,SCP4679
PCA8729,SCP4680
PCA8776,SCP4680
PCA1658,SCP4680
PCA25,SCP4683
PCA6490,SCP4686
PCA7030,SCP4686
PCA9548,SCP4686
PCA47,SCP4688
PCA54,SCP4689
PCA2206,SCP4695
PCA1658,SCP4695
PCA6958,SCP4695
PCA8492,SCP4696
PCA2685,SCP4696
PCA8072,SCP4696
PCA7205,SCP4697
PCA9362,SCP4697
PCA4654,SCP4697
PCA55,SCP4704
PCA2532,SCP4704
PCA1423,SCP4704
PCA4550,SCP4705
PCA1457,SCP4705
PCA2879,SCP4705
PCA5111,SCP4707
PCA9972,SCP4707
PCA4107,SCP4707
PCA25,SCP4709
PCA49,SCP4710
PCA49,SCP4711
PCA40,SCP4716
PCA6991,SCP4718
PCA3969,SCP4718
PCA7770,SCP4718
PCA412,SCP4722
PCA3490,SCP4722
PCA8950,SCP4722
PCA18,SCP4723
PCA5694,SCP4726
PCA1441,SCP4726
PCA5055,SCP4726
PCA54,SCP4727
PCA6934,SCP4729
PCA5905,SCP4729
PCA9851,SCP4729
PCA39,SCP4730
PCA8565,SCP4731
PCA6473,SCP4731
PCA6389,SCP4731
PCA5185,SCP4733
PCA6091,SCP4733
PCA3691,SCP4733
PCA3607,SCP4734
PCA8292,SCP4734
PCA1344,SCP4734
PCA4746,SCP4735
PCA6070,SCP4735
PCA459,SCP4735
PCA61,SCP4737
PCA3923,SCP4741
PCA3532,SCP4741
PCA835,SCP4741
PCA44,SCP4743
PCA66,SCP4747
PCA561,SCP4749
PCA4359,SCP4749
PCA6078,SCP4749
PCA3385,SCP4750
PCA4298,SCP4750
PCA3303,SCP4750
PCA602,SCP4753
PCA8162,SCP4753
PCA7022,SCP4753
PCA6577,SCP4755
PCA1473,SCP4755
PCA2581,SCP4755
PCA2676,SCP4756
PCA1838,SCP4756
PCA453,SCP4756
PCA9,SCP4757
PCA3225,SCP4758
PCA1163,SCP4758
PCA5062,SCP4758
PCA5946,SCP4766
PCA1306,SCP4766
PCA1870,SCP4766
PCA22,SCP4770
PCA4728,SCP4771
PCA2079,SCP4771
PCA118,SCP4771
PCA57,SCP4778
PCA6896,SCP4779
PCA689,SCP4779
PCA8865,SCP4779
PCA727,SCP4783
PCA489,SCP4783
PCA7263,SCP4783
PCA40,SCP4788
PCA7681,SCP4789
PCA1236,SCP4789
PCA8903,SCP4789
PCA64,SCP4793
PCA3165,SCP4794
PCA9229,SCP4794
PCA4630,SCP4794
PCA4,SCP4796
PCA26,SCP4800
PCA69,SCP4801
PCA58,SCP4802
PCA42,SCP4803
PCA25,SCP4809
PCA6632,SCP4811
PCA2601,SCP4811
PCA5722,SCP4811
PCA9,SCP4812
PCA7291,SCP4814
PCA1949,SCP4814
PCA7659,SCP4814
PCA20,SCP4815
PCA12,SCP4817
PCA2245,SCP4819
PCA2134,SCP4819
PCA6405,SCP4819
PCA38,SCP4820
PCA3406,SCP4824
PCA5090,SCP4824
PCA4634,SCP4824
PCA36,SCP4826
PCA47,SCP4827
PCA25,SCP4829
PCA14,SCP4830
PCA2463,SCP4834
PCA472,SCP4834
PCA4623,SCP4834
PCA38,SCP4835
PCA6697,SCP4836
PCA7217,SCP4836
PCA4259,SCP4836
PCA10,SCP4837
PCA4907,SCP4839
PCA2705,SCP4839
PCA7215,SCP4839
PCA6469,SCP4842
PCA3607,SCP4842
PCA9374,SCP4842
PCA3811,SCP4844
PCA667,SCP4844
PCA1645,SCP4844
PCA38,SCP4845
PCA6658,SCP4846
PCA4074,SCP4846
PCA728,SCP4846
PCA58,SCP4847
PCA8714,SCP4851
PCA3778,SCP4851
PCA1710,SCP4851
PCA5439,SCP4852
PCA8658,SCP4852
PCA8487,SCP4852
PCA5172,SCP4853
PCA6323,SCP4853
PCA1286,SCP4853
PCA35,SCP4854
PCA1448,SCP4857
PCA9336,SCP4857
PCA7071,SCP4857
PCA28,SCP4861
PCA5313,SCP4863
PCA4410,SCP4863
PCA4655,SCP4863
PCA25,SCP4872
PCA8456,SCP4874
PCA53,SCP4874
PCA3004,SCP4874
PCA56,SCP4875
PCA5048,SCP4876
PCA6177,SCP4876
PCA8056,SCP4876
PCA4790,SCP4879
PCA5238,SCP4879
PCA8572,SCP4879
PCA63,SCP4881
PCA1820,SCP4885
PCA1166,SCP4885
PCA2741,SCP4885
PCA64,SCP4887
PCA56,SCP4888
PCA33,SCP4892
PCA3314,SCP4893
PCA3273,SCP4893
PCA1521,SCP4893
PCA6087,SCP4897
PCA6235,SCP4897
PCA2665,SCP4897
PCA2484,SCP4900
PCA8814,SCP4900
PCA3743,SCP4900
PCA3,SCP4904
PCA2373,SCP4908
PCA2454,SCP4908
PCA4330,SCP4908
PCA3161,SCP4912
PCA8218,SCP4912
PCA7255,SCP4912
PCA2346,SCP4915
PCA5500,SCP4915
PCA5411,SCP4915
PCA3980,SCP4916
PCA4628,SCP4916
PCA5945,SCP4916
PCA2827,SCP4922
PCA9326,SCP4922
PCA6535,SCP4922
PCA2245,SCP4923
PCA8477,SCP4923
PCA2407,SCP4923
PCA65,SCP4924
PCA4,SCP4926
PCA9530,SCP4933
PCA9393,SCP4933
PCA3814,SCP4933
PCA1642,SCP4936
PCA6989,SCP4936
PCA9427,SCP4936
PCA37,SCP4937
PCA65,SCP4939
PCA54,SCP4940
PCA64,SCP4942
PCA1106,SCP4944
PCA225,SCP4944
PCA2138,SCP4944
PCA5741,SCP4947
PCA6022,SCP4947
PCA1808,SCP4947
PCA25,SCP4948
PCA29,SCP4952
PCA9427,SCP4954
PCA5572,SCP4954
PCA7971,SCP4954
PCA1507,SCP4963
PCA6593,SCP4963
PCA4932,SCP4963
PCA46,SCP4965
PCA14,SCP4968
PCA3325,SCP4969
PCA541,SCP4969
PCA4591,SCP4969
PCA50,SCP4972
PCA8905,SCP4976
PCA7103,SCP4976
PCA3453,SCP4976
PCA17,SCP4977
PCA549,SCP4978
PCA6127,SCP4978
PCA6380,SCP4978
PCA2806,SCP4979
PCA9390,SCP4979
PCA9671,SCP4979
PCA9803,SCP4981
PCA8740,SCP4981
PCA7937,SCP4981
PCA68,SCP4984
PCA46,SCP4990
PCA4470,SCP4992
PCA4061,SCP4992
PCA8214,SCP4992
PCA56,SCP4993
PCA1618,SCP4996
PCA5301,SCP4996
PCA9156,SCP4996
PCA2782,SCP4998
PCA8818,SCP4998
PCA5975,SCP4998
PCA4924,SCP5001
PCA6557,SCP5001
PCA3363,SCP5001
PCA1415,SCP5003
PCA9561,SCP5003
PCA2036,SCP5003
PCA2973,SCP5004
PCA9482,SCP5004
PCA7842,SCP5004
PCA62,SCP5008
PCA6648,SCP5012
PCA4765,SCP5012
PCA7619,SCP5012
PCA9492,SCP5013
PCA5822,SCP5013
PCA3309,SCP5013
PCA8,SCP5014
PCA4760,SCP5015
PCA3606,SCP5015
PCA1647,SCP5015
PCA1486,SCP5016
PCA2353,SCP5016
PCA3448,SCP5016
PCA2,SCP5017
PCA66,SCP5019
PCA21,SCP5025
PCA16,SCP5027
PCA712,SCP5028
PCA9141,SCP5028
PCA5944,SCP5028
PCA69,SCP5029
PCA22,SCP5030
PCA26,SCP5031
PCA4204,SCP5034
PCA1182,SCP5034
PCA7696,SCP5034
PCA70,SCP5035
PCA28,SCP5039
PCA66,SCP5042
PCA11,SCP5043
PCA31,SCP5044
PCA12,SCP5045
PCA7592,SCP5048
PCA9103,SCP5048
PCA7585,SCP5048
PCA2920,SCP5052
PCA6738,SCP5052
PCA7159,SCP5052
PCA19,SCP5054
PCA20,SCP5057
PCA6,SCP5059
PCA55,SCP5063
PCA52,SCP5065
PCA4780,SCP5066
PCA4552,SCP5066
PCA9372,SCP5066
PCA58,SCP5069
PCA70,SCP5072
PCA3098,SCP5073
PCA529,SCP5073
PCA1701,SCP5073
PCA64,SCP5074
PCA2,SCP5079
PCA9713,SCP5080
PCA8144,SCP5080
PCA3768,SCP5080
PCA58,SCP5084
PCA7284,SCP5085
PCA2843,SCP5085
PCA5705,SCP5085
PCA26,SCP5088
PCA1758,SCP5092
PCA613,SCP5092
PCA4841,SCP5092
PCA2264,SCP5095
PCA9811,SCP5095
PCA6093,SCP5095
PCA1809,SCP5097
PCA2579,SCP5097
PCA6481,SCP5097
PCA4503,SCP5098
PCA8936,SCP5098
PCA9708,SCP5098
PCA47,SCP5099
PCA7195,SCP5104
PCA781,SCP5104
PCA4541,SCP5104
PCA28,SCP5106
PCA4284,SCP5107
PCA7546,SCP5107
PCA3405,SCP5107
PCA9708,SCP5112
PCA1217,SCP5112
PCA9122,SCP5112
PCA60,SCP5114
PCA7167,SCP5116
PCA6183,SCP5116
PCA2980,SCP5116
PCA2,SCP5117
PCA7272,SCP5120
PCA2750,SCP5120
PCA9624,SCP5120
PCA24,SCP5121
PCA3,SCP5124
PCA6,SCP5125
PCA9332,SCP5127
PCA7451,SCP5127
PCA3215,SCP5127
PCA9553,SCP5142
PCA2057,SCP5142
PCA8182,SCP5142
PCA57,SCP5143
PCA54,SCP5145
PCA6915,SCP5149
PCA80,SCP5149
PCA3137,SCP5149
PCA57,SCP5150
PCA40,SCP5153
PCA4848,SCP5155
PCA8469,SCP5155
PCA4879,SCP5155
PCA833,SCP5156
PCA5264,SCP5156
PCA7254,SCP5156
PCA5297,SCP5158
PCA9480,SCP5158
PCA3218,SCP5158
PCA1145,SCP5161
PCA8167,SCP5161
PCA4922,SCP5161
PCA5433,SCP5164
PCA6391,SCP5164
PCA966,SCP5164
PCA67,SCP5166
PCA320,SCP5175
PCA442,SCP5175
PCA4972,SCP5175
PCA2288,SCP5176
PCA148,SCP5176
PCA4315,SCP5176
PCA65,SCP5177
PCA9676,SCP5180
PCA1227,SCP5180
PCA7947,SCP5180
PCA17,SCP5184
PCA4545,SCP5187
PCA7836,SCP5187
PCA7457,SCP5187
PCA8300,SCP5188
PCA405,SCP5188
PCA4487,SCP5188
PCA5648,SCP5189
PCA8134,SCP5189
PCA5589,SCP5189
PCA33,SCP5193
PCA44,SCP5194
PCA69,SCP5202
PCA3915,SCP5204
PCA7854,SCP5204
PCA6185,SCP5204
PCA53,SCP5205
PCA34,SCP5207
PCA8496,SCP5213
PCA1066,SCP5213
PCA8686,SCP5213
PCA6402,SCP5216
PCA2155,SCP5216
PCA3350,SCP5216
PCA5826,SCP5220
PCA2126,SCP5220
PCA9661,SCP5220
PCA2138,SCP5222
PCA7964,SCP5222
PCA5387,SCP5222
PCA15,SCP5223
PCA1916,SCP5224
PCA6571,SCP5224
PCA6460,SCP5224
PCA2973,SCP5226
PCA1236,SCP5226
PCA9824,SCP5226
PCA5259,SCP5234
PCA6595,SCP5234
PCA5661,SCP5234
PCA65,SCP5238
PCA50,SCP5241
PCA39,SCP5242
PCA57,SCP5243
PCA6,SCP5251
PCA3848,SCP5252
PCA161,SCP5252
PCA2935,SCP5252
PCA41,SCP5254
PCA4,SCP5255
PCA8755,SCP5257
PCA8427,SCP5257
PCA6166,SCP5257
PCA5741,SCP5259
PCA8742,SCP5259
PCA7677,SCP5259
PCA5273,SCP5261
PCA1140,SCP5261
PCA3833,SCP5261
PCA2600,SCP5262
PCA2246,SCP5262
PCA8007,SCP5262
PCA48,SCP5263
PCA3028,SCP5263
PCA4695,SCP5263
PCA48,SCP5264
PCA7876,SCP5266
PCA4785,SCP5266
PCA794,SCP5266
PCA34,SCP5268
PCA2783,SCP5269
PCA5300,SCP5269
PCA9134,SCP5269
PCA48,SCP5270
PCA53,SCP5273
PCA34,SCP5274
PCA4045,SCP5277
PCA5758,SCP5277
PCA56,SCP5277
PCA2207,SCP5278
PCA2270,SCP5278
PCA6942,SCP5278
PCA49,SCP5283
PCA2157,SCP5284
PCA1326,SCP5284
PCA605,SCP5284
PCA25,SCP5285
PCA1810,SCP5292
PCA9910,SCP5292
PCA8694,SCP5292
PCA4277,SCP5297
PCA8215,SCP5297
PCA6791,SCP5297
PCA8357,SCP5298
PCA6925,SCP5298
PCA2708,SCP5298
PCA2842,SCP5305
PCA6268,SCP5305
PCA1591,SCP5305
PCA36,SCP5308
PCA1736,SCP5309
PCA7212,SCP5309
PCA8383,SCP5309
PCA31,SCP5312
PCA69,SCP5315
PCA33,SCP5316
PCA48,SCP5317
PCA9212,SCP5318
PCA4253,SCP5318
PCA8816,SCP5318
PCA3823,SCP5319
PCA7714,SCP5319
PCA488,SCP5319
